sample_number,sample_well,sample_name,parental,day,condition,rep,rep_num,sample_label
1,A1,A1,H7,0,WT,30-Jan,R4,A1_H7_WT_D0_R4
2,A2,A2,H7,0,17q1q,30-Jan,R4,A2_H7_17q1q_D0_R4
3,A3,A3,H7,0,17q1q,30-Jan,R4,A3_H7_17q1q_D0_R4
4,A4,A4,H7,3,WT,30-Jan,R4,A4_H7_WT_D3_R4
5,A5,A5,H7,3,17q1q,30-Jan,R4,A5_H7_17q1q_D3_R4
6,A6,A6,H7,3,17q1q,30-Jan,R4,A6_H7_17q1q_D3_R4
7,A7,A7,H7,6,WT,30-Jan,R4,A7_H7_WT_D6_R4
8,A8,A8,H7,6,17q1q,30-Jan,R4,A8_H7_17q1q_D6_R4
9,A9,A9,H7,6,17q1q,30-Jan,R4,A9_H7_17q1q_D6_R4
10,A10,A10,H7,6,17q1qMYCN,30-Jan,R4,A10_H7_17q1qMYCN_D6_R4
11,A11,A11,H7,9,WT,30-Jan,R4,A11_H7_WT_D9_R4
12,A12,A12,H7,9,17q1q,30-Jan,R4,A12_H7_17q1q_D9_R4
13,B1,B1,H7,9,17q1q,30-Jan,R4,B1_H7_17q1q_D9_R4
14,B2,B2,H7,9,17q1qMYCN,30-Jan,R4,B2_H7_17q1qMYCN_D9_R4
15,B3,B3,H7,10,WT,30-Jan,R4,B3_H7_WT_D10_R4
16,B4,B4,H7,10,17q1q,30-Jan,R4,B4_H7_17q1q_D10_R4
17,B5,B5,H7,10,17q1q,30-Jan,R4,B5_H7_17q1q_D10_R4
18,B6,B6,H7,10,17q1qMYCN,30-Jan,R4,B6_H7_17q1qMYCN_D10_R4
19,B7,B7,H7,12,WT,30-Jan,R4,B7_H7_WT_D12_R4
20,B8,B8,H7,12,17q1q,30-Jan,R4,B8_H7_17q1q_D12_R4
21,B9,B9,H7,12,17q1q,30-Jan,R4,B9_H7_17q1q_D12_R4
22,B10,B10,H7,12,17q1qMYCN,30-Jan,R4,B10_H7_17q1qMYCN_D12_R4
23,B11,B11,H7,14,WT,30-Jan,R4,B11_H7_WT_D14_R4
24,B12,B12,H7,14,17q1q,30-Jan,R4,B12_H7_17q1q_D14_R4
25,C1,C1,H7,14,17q1q,30-Jan,R4,C1_H7_17q1q_D14_R4
26,C2,C2,H7,14,17q1qMYCN,30-Jan,R4,C2_H7_17q1qMYCN_D14_R4
27,C3,C3,H7,19,WT,30-Jan,R4,C3_H7_WT_D19_R4
28,C4,C4,H7,19,17q1q,30-Jan,R4,C4_H7_17q1q_D19_R4
29,C5,C5,H7,19,17q1q,30-Jan,R4,C5_H7_17q1q_D19_R4
30,C6,C6,H7,19,17q1qMYCN,30-Jan,R4,C6_H7_17q1qMYCN_D19_R4
31,C7,C7,H7,28,WT,30-Jan,R4,C7_H7_WT_D28_R4
32,C8,C8,H7,28,17q1q,30-Jan,R4,C8_H7_17q1q_D28_R4
33,C9,C9,H7,28,17q1q,30-Jan,R4,C9_H7_17q1q_D28_R4
34,C10,C10,H7,28,17q1qMYCN,30-Jan,R4,C10_H7_17q1qMYCN_D28_R4
35,C11,C11,H7,0,WT,07-Feb,R5,C11_H7_WT_D0_R5
36,C12,C12,H7,0,17q1q,07-Feb,R5,C12_H7_17q1q_D0_R5
37,D1,D1,H7,0,17q1q,07-Feb,R5,D1_H7_17q1q_D0_R5
38,D2,D2,H7,3,WT,07-Feb,R5,D2_H7_WT_D3_R5
39,D3,D3,H7,3,17q1q,07-Feb,R5,D3_H7_17q1q_D3_R5
40,D4,D4,H7,3,17q1q,07-Feb,R5,D4_H7_17q1q_D3_R5
41,D5,D5,H7,6,WT,07-Feb,R5,D5_H7_WT_D6_R5
42,D6,D6,H7,6,17q1q,07-Feb,R5,D6_H7_17q1q_D6_R5
43,D7,D7,H7,6,17q1q,07-Feb,R5,D7_H7_17q1q_D6_R5
44,D8,D8,H7,6,17q1qMYCN,07-Feb,R5,D8_H7_17q1qMYCN_D6_R5
45,D9,D9,H7,9,WT,07-Feb,R5,D9_H7_WT_D9_R5
46,D10,D10,H7,9,17q1q,07-Feb,R5,D10_H7_17q1q_D9_R5
47,D11,D11,H7,9,17q1q,07-Feb,R5,D11_H7_17q1q_D9_R5
48,D12,D12,H7,9,17q1qMYCN,07-Feb,R5,D12_H7_17q1qMYCN_D9_R5
49,E1,E1,H7,10,WT,07-Feb,R5,E1_H7_WT_D10_R5
50,E2,E2,H7,10,17q1q,07-Feb,R5,E2_H7_17q1q_D10_R5
51,E3,E3,H7,10,17q1q,07-Feb,R5,E3_H7_17q1q_D10_R5
52,E4,E4,H7,10,17q1qMYCN,07-Feb,R5,E4_H7_17q1qMYCN_D10_R5
53,E5,E5,H7,12,WT,07-Feb,R5,E5_H7_WT_D12_R5
54,E6,E6,H7,12,17q1q,07-Feb,R5,E6_H7_17q1q_D12_R5
55,E7,E7,H7,12,17q1q,07-Feb,R5,E7_H7_17q1q_D12_R5
56,E8,E8,H7,12,17q1qMYCN,07-Feb,R5,E8_H7_17q1qMYCN_D12_R5
57,E9,E9,H7,14,WT,07-Feb,R5,E9_H7_WT_D14_R5
58,E10,E10,H7,14,17q1q,07-Feb,R5,E10_H7_17q1q_D14_R5
59,E11,E11,H7,14,17q1q,07-Feb,R5,E11_H7_17q1q_D14_R5
60,E12,E12,H7,14,17q1qMYCN,07-Feb,R5,E12_H7_17q1qMYCN_D14_R5
61,F1,F1,H7,19,WT,07-Feb,R5,F1_H7_WT_D19_R5
62,F2,F2,H7,19,17q1q,07-Feb,R5,F2_H7_17q1q_D19_R5
63,F3,F3,H7,19,17q1q,07-Feb,R5,F3_H7_17q1q_D19_R5
64,F4,F4,H7,19,17q1qMYCN,07-Feb,R5,F4_H7_17q1qMYCN_D19_R5
65,F5,F5,H7,28,WT,07-Feb,R5,F5_H7_WT_D28_R5
66,F6,F6,H7,28,17q1q,07-Feb,R5,F6_H7_17q1q_D28_R5
67,F7,F7,H7,28,17q1q,07-Feb,R5,F7_H7_17q1q_D28_R5
68,F8,F8,H7,28,17q1qMYCN,07-Feb,R5,F8_H7_17q1qMYCN_D28_R5
69,F9,F9,H7,0,WTm,08-Feb,R6,F9_H7_WTm_D0_R6
70,F10,F10,H7,0,17qm,08-Feb,R6,F10_H7_17qm_D0_R6
71,F11,F11,H7,3,WTm,08-Feb,R6,F11_H7_WTm_D3_R6
72,F12,F12,H7,3,17qm,08-Feb,R6,F12_H7_17qm_D3_R6
73,G1,G1,H7,9,WTm,08-Feb,R6,G1_H7_WTm_D9_R6
74,G2,G2,H7,9,17qm,08-Feb,R6,G2_H7_17qm_D9_R6
75,G3,G3,H7,9,MYCN,08-Feb,R6,G3_H7_MYCN_D9_R6
76,G4,G4,H7,9,17qMYCN,08-Feb,R6,G4_H7_17qMYCN_D9_R6
77,G5,G5,H9,0,WT,na,R7,G5_H9_WT_D0_R7
78,G6,G6,H9,0,17q1q,na,R7,G6_H9_17q1q_D0_R7
79,G7,G7,H9,0,17q1q,na,R7,G7_H9_17q1q_D0_R7
80,G8,G8,H9,3,WT,na,R7,G8_H9_WT_D3_R7
81,G9,G9,H9,3,17q1q,na,R7,G9_H9_17q1q_D3_R7
82,G10,G10,H9,3,17q1q,na,R7,G10_H9_17q1q_D3_R7
83,G11,G11,H9,9,WT,na,R7,G11_H9_WT_D9_R7
84,G12,G12,H9,9,17q1q,na,R7,G12_H9_17q1q_D9_R7
85,H1,H1,H9,9,17q1q,na,R7,H1_H9_17q1q_D9_R7
86,H2,H2,H9,9,17q1qMYCN,na,R7,H2_H9_17q1qMYCN_D9_R7
87,H3,H3,H9,14,WT,na,R7,H3_H9_WT_D14_R7
88,H4,H4,H9,14,17q1q,na,R7,H4_H9_17q1q_D14_R7
89,H5,H5,H9,14,17q1q,na,R7,H5_H9_17q1q_D14_R7
90,H6,H6,H9,14,17q1qMYCN,na,R7,H6_H9_17q1qMYCN_D14_R7
91,H7,H7,H9,19,WT,na,R7,H7_H9_WT_D19_R7
92,H8,H8,H9,19,17q1q,na,R7,H8_H9_17q1q_D19_R7
93,H9,H9,H9,19,17q1q,na,R7,H9_H9_17q1q_D19_R7
94,H10,H10,H9,19,17q1qMYCN,na,R7,H10_H9_17q1qMYCN_D19_R7
95,H11,H11,H7,10,17q1q,07-Feb,R5,H11_H7_17q1q_D10_R5
96,H12,H12,H7,10,17q1q,07-Feb,R5,H12_H7_17q1q_D10_R5
